MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PE,0,0,42.3911,0,0,0,188.929,29.1027
PE,0,0,43.5329,0,0,0,195.0264,30.063
PE,0,0,45.7486,0,0,0,207.5187,31.9594
PETmono,4.2491,3.2417,0,2.885,44.12,130.6776,0,0
PE,0,0,31.9275,0,0,0,221.0146,34.0867
PETp,0,0,234.3158,0,0,0,0,0
OM,0,0,1.4258,0,11.7946,18.4902,0,0
PLA,108.5655,83.8209,110.2053,0,28.5925,45.4334,0,0
PA,123.3794,95.213,82.1238,0,44.4084,58.0154,0,0
PP,0,0,0,0,0,0,170.8222,26.2994
PA6,3.7017,3.1,5.2351,0,0,0,0,0
PS,239.041,184.264,244.4726,0,0,0,58.922,8.884
PSf,0,0,0,0,78.1965,124.8006,0,0
PVC,28.728,22.404,90.9077,0,0,0,0,0
PETmono,4.1411,3.4579,0,0,51.0926,81.4381,0,0
OM,0,0,1.5355,0,10.3899,16.2706,0,0
PETp,0,0,214.1345,0,0,0,0,0
PA,102.8216,79.4041,124.8633,0,36.4425,64.7008,0,0
PLA,115.0152,88.7824,102.0134,0,31.8883,50.7217,0,0
PA6,4.0303,3.3708,4.0756,0,0,0,0,0
PP,0,0,0,0,0,0,192.9434,29.6948
PS,229.515,176.967,249.6064,0,0,0,5.9033,0.6192
PSf,0,0,0,0,80.9201,129.1616,0,0
PVC,69.454,53.71,45.5383,0,0,0,0,0
OM,0,0,1.6452,0,12.2231,19.2174,0,0
PETmono,4.0803,3.3077,0,0,68.0652,108.6042,0,0
PA,111.4251,86.021,122.7815,0,40.6191,63.787,0,0
PETp,0,0,236.0857,0,0,0,0,0
PA6,4.2016,3.4873,4.7844,0,0,0,0,0
PLA,121.4649,93.7439,105.1085,0,33.6577,53.5437,0,0
PP,0,0,0,0,0,0,195.1903,30.0704
PS,237.031,182.825,253.3179,0,0,0,79.3621,12.0528
PSf,0,0,0,0,57.1903,133.5226,0,0
PVC,34.556,26.859,44.8933,0,0,0,0,0
OM,0,0,1.7549,0,13.6904,21.5592,0,0
PA,133.5525,103.0418,172.2236,0,40.0564,59.5225,0,0
PETmono,4.3565,3.2853,0,1.2695,46.7118,74.4258,0,0
PA6,6.2683,3.0831,8.1004,0,0,0,0,0
PETp,0,0,227.1792,0,0,0,0,0
PLA,117.8981,91.0035,199.4147,0,26.6667,42.3717,0,0
PP,0,0,0,0,0,0,165.7481,25.4977
PS,249.801,192.741,251.4814,0,0,0,32.31,4.7394
PSf,0,0,0,0,85.8152,136.9862,0,0
PVC,30.956,24.115,41.8037,0,0,0,0,0
OM,0,0,1.8646,0,11.1926,17.5899,0,0
PA,132.2355,102.0307,160.7825,0,37.3927,67.9525,0,0
PA6,4.5561,3.7639,5.0377,0,0,0,0,0
PETmono,3.9608,3.3039,0,0,65.0669,103.8101,0,0
PETp,0,0,252.0984,0,0,0,0,0
PLA,102.1418,78.8777,195.9282,0,27.6559,43.9515,0,0
PP,0,0,0,0,0,0,190.2038,29.2974
PS,211.619,163.2,249.7605,0,0,0,46.5848,6.9462
PSf,0,0,0,0,79.2129,126.4338,0,0
PVC,15.217,11.95,39.4142,0,0,0,0,0
OM,0,0,1.9743,0,15.5466,24.4936,0,0
PA,161.3615,124.454,95.4578,0,42.6547,64.0484,0,0
PA6,3.7816,3.1711,4.5634,0,0,0,0,0
PETp,0,0,248.31,0,0,0,0,0
PLA,100.5062,77.6213,118.9616,0,26.0984,41.4507,0,0
PP,0,0,0,0,0,0,168.8072,25.9727
PS,239.175,183.534,253.9054,0,0,0,8.8016,1.0563
PVC,29.505,20.008,16.8617,0,0,0,0,0
OM,0,0,2.084,0,6.6291,10.3275,0,0
PA,127.4134,98.3175,95.397,0,40.2196,71.3807,0,0
PETp,0,0,252.1521,0,0,0,0,0
PLA,106.2825,82.0659,127.707,0,30.5084,48.4996,0,0
PP,0,0,0,0,0,0,176.4279,27.1564
PS,248.093,191.379,252.4162,0,0,0,26.2007,3.7647
PVC,29.505,23.008,66.7493,0,0,0,0,0
OM,0,0,2.1937,0,12.3523,19.4111,0,0
PA,160.2138,123.5491,117.8376,0,44.805,71.2234,0,0
